,accession_number,author,copyright,credit_line,curatorial_department,date,dimensions,geography,id,location,medium,subtitle,title,url
283,1962-203-10(52),"Pierre Bourdelle, American (born France), 1901 - 1966. Printed by Albert Carman, American, 1899 - 1949. Published by American Studio Books, NY & London.",,"Gift of Titus C. Geesey, 1962","Prints, Drawings, and Photographs",1945,"Image: 10 3/8 × 15 1/4 inches (26.4 × 38.7 cm)
Sheet: 13 x 17 inches (33 x 43.2 cm)","Made in New York, New York, United States, North and Central America",224487,Currently not on view,Lithograph (reproduction),From the portfolio War,Vesuvius,http://www.philamuseum.org/collections/permanent/224487.html
284,1947-9-19,"Robert Hinshelwood, American (born Scotland), 1812 - after 1875. After J. G. Chapman, American, 1808 - 1889.",,"Gift of the estate of Mrs. Charles M. Lea, 1947","Prints, Drawings, and Photographs",1838,Image: 4 3/4 x 3 3/4 inches (12.1 x 9.5 cm),"Made in United States, North and Central America",204757,Currently not on view,Engraving,,The First Ship,http://www.philamuseum.org/collections/permanent/204757.html
285,1985-52-19071,"Robert Reyher, German, 1838 - 1877. Director Eduard Mandel, German, 1810 - 1882. After Anton Graff, Swiss, 1736 - 1813.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1862,"Plate: 14 15/16 x 11 11/16 inches (37.9 x 29.7cm)
Sheet: 22 1/16 x 16 5/16 inches (56 x 41.5cm)","Made in Berlin, Brandenburg, Germany, Europe",15605,Currently not on view,Etching and engraving,Schiller,Portrait of Friedrich von Schiller (1759 - 1805),http://www.philamuseum.org/collections/permanent/15605.html
286,1965-86-6556,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","December 19, 1941",Image and sheet: 9 13/16 × 7 3/8 inches (25 × 18.7 cm),"Photograph taken in New York, New York, United States, North and Central America",242702,Currently not on view,Gelatin silver print,,Annabelle Lyon in Bluebeard,http://www.philamuseum.org/collections/permanent/242702.html
287,1929-61-18,"Joseph Pennell, American, 1857 - 1926",,"The John F. Braun Collection, 1929","Prints, Drawings, and Photographs",1912,"Image: 20 x 16 inches (50.8 x 40.6 cm)
Sheet: 25 x 19 inches (63.5 x 48.3 cm)","Made in United States, North and Central America",42985,Currently not on view,Lithograph,From his Philadelphia series,"Book Room, At Dr. Wister's",http://www.philamuseum.org/collections/permanent/42985.html
288,2006-4-203,"Tressemanes & Vogt, Limoges, France, 1891 - c. 1919",,"Gift of the McNeil Americana Collection, 2006",American Art,1892,7/8 × 8 1/2 inches (2.2 × 21.6 cm),"Made in Limoges, France, Europe Period: Victorian",296235,Currently not on view,"Porcelain with printed, enamel and gilt decoration",,Plate,http://www.philamuseum.org/collections/permanent/296235.html
289,2004-110-2,"Eugène Atget, French, 1857 - 1927",,"Purchased with the Lola Downin Peck Fund, the Alice Newton Osborn Fund, other Museum funds, and with the partial gift of Eric W. Strom, 2004","Prints, Drawings, and Photographs",1899-1900,"Image and sheet: 8 3/8 x 6 11/16 inches (21.3 x 17 cm)
Mount: 14 1/2 x 11 3/8 inches (36.8 x 28.9 cm)","Photograph taken in France, Europe",280457,Currently not on view,Albumen silver print,,Agent,http://www.philamuseum.org/collections/permanent/280457.html
290,1933-72-370,"Kenneth Holmes, British, 1902 - 1994",,"The William S. Pilling Collection, 1933","Prints, Drawings, and Photographs",c. 1926-1933,"Plate: 8 x 9 1/4 inches (20.3 x 23.5 cm)
Sheet: 11 3/8 x 15 inches (28.9 x 38.1 cm)","Made in United States, North and Central America",45032,Currently not on view,Drypoint,,Neopolitan Spire,http://www.philamuseum.org/collections/permanent/45032.html
291,1997-37-50,"Harry Callahan, American, 1912 - 1999","© The Estate of Harry Callahan, courtesy Pace/MacGill Gallery, New York","125th Anniversary Acquisition. Purchased with funds contributed by John J. Medveckis, 1997","Prints, Drawings, and Photographs",1988,"Image: 6 1/8 × 6 1/16 inches (15.6 × 15.4 cm)
Sheet: 9 15/16 × 8 inches (25.2 × 20.3 cm)","Photograph taken in Georgia, United States, North and Central America",91505,Currently not on view,Gelatin silver print,,Georgia Mountains,http://www.philamuseum.org/collections/permanent/91505.html
292,1911-235,"Artist/maker unknown, English",,"Gift of J. F. Herbert, 1911",European Decorative Arts and Sculpture,c. 1800,4 5/16 × 6 1/8 × 3/4 inches (11 × 15.5 × 1.9 cm),"Made in England, Europe",137443,Currently not on view,Iron,,Lock with Latch,http://www.philamuseum.org/collections/permanent/137443.html
293,1982-47-44,"Danny Lyon, American, born 1942",,"Purchased with the Lola Downin Peck Fund and the Alice Newton Osborn Fund, 1982","Prints, Drawings, and Photographs",1966,"Image: 8 1/2 × 8 9/16 inches (21.6 × 21.7 cm)
Sheet: 11 15/16 × 11 inches (30.4 × 27.9 cm)","Photograph taken in Cartagena, Colombia, South America",149189,Currently not on view,Chromogenic print,,"Tesca, Cartagena, Colombia",http://www.philamuseum.org/collections/permanent/149189.html
294,1985-52-34645,"Jacques Dassonville, French, 1619 - 1670",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",Mid- 17th century,Sheet: 3 11/16 x 5 1/4 inches (9.3 x 13.3 cm),"Made in France, Europe",3202,Currently not on view,Etching and drypoint,,The Family and the Cradle,http://www.philamuseum.org/collections/permanent/3202.html
295,1991-105-1,"William Wyman, American, 1922 - 1980",,"Gift of Marilyn Pappas, 1991",American Art,1977,22 x 6 1/4 inches (55.9 x 15.9 cm),"Made in Scituate, Massachusetts, United States, North and Central America",86079,Currently not on view,"Stoneware, glazed",,Untitled,http://www.philamuseum.org/collections/permanent/86079.html
296,2013-82-7a--f,"Designed by Bernhard Willhelm, German, born 1972",,"Gift of Bernhard Willhelm, 2013",Costume and Textiles,Fall/Winter 2008-2009,"Length (Shirt): 27 1/2 inches (69.9 cm)
Length (Overalls): 53 1/2 inches (135.9 cm)
Length (Stockings): 49 1/2 inches (125.7 cm)
Circumference (Cap): 26 inches (66 cm)
Height (Cap): 7 inches (17.8 cm)
Boots: 10 1/2 × 4 × 7 1/2 inches (26.7 × 10.2 × 19.1 cm)","or made in Europe Possibly made in Japan, Asia",327824,Currently not on view,"Shirt: Tie-dyed cotton twill
Overalls: Cotton flannel plain weave
Stockings Wool knit
Cap: Cotton flannel plain weave
Boots: Leather, metal, synthetic laces",,"Woman's Ensemble: Shirt, Overalls, Stockings, Cap, and Boots",http://www.philamuseum.org/collections/permanent/327824.html
297,1946-51-90,"Possibly by Yanagawa Beishi, Japanese, active 1804 - 1806",,"Gift of Mrs. John D. Rockefeller, Jr., 1946","Prints, Drawings, and Photographs",1806,3 9/16 x 4 1/4 inches (9 x 10.8 cm),"Made in Japan, Asia Period: Edo Period (1615-1868)",202326,Currently not on view,Color woodcut,,"Blowfish, Rake, and Basket",http://www.philamuseum.org/collections/permanent/202326.html
298,1985-52-6492,"Johann Christian Reinhart, German, 1761 - 1847",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1820,"Plate: 4 7/16 x 5 11/16 inches (11.3 x 14.5 cm)
Sheet: 7 1/2 x 8 3/4 inches (19 x 22.2 cm)","Made in Rome, Italy, Europe",13274,Currently not on view,Etching,,Two Oxen in the Water,http://www.philamuseum.org/collections/permanent/13274.html
299,1971-117-21(11),"Edward S. Curtis, American, 1868 - 1952. Printed by John Andrew & Son, Boston, founded 1869.",,"Purchased with funds contributed by the American Museum of Photography, 1971","Prints, Drawings, and Photographs",1903,"Image: 11 3/4 x 15 3/4 inches (29.8 x 40 cm)
Sheet: 18 1/8 x 22 3/16 inches (46 x 56.4 cm)","Photograph taken in United States, North and Central America",244373,Currently not on view,Photogravure,"Plate 11 from The North American Indian, Supplementary Portfolio Vol.1",Story-telling - Apache,http://www.philamuseum.org/collections/permanent/244373.html
300,1985-52-8880,"Jan Sadeler I, Flemish, 1550 - 1600",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1581,"Plate: 10 1/4 x 6 9/16 inches (26 x 16.7 cm)
Sheet: 11 1/4 x 7 9/16 inches (28.6 x 19.2 cm)","Made in Belgium, Europe",81716,Currently not on view,Engraving,,Portrait of Herdesianus (Christopher Hardesheim),http://www.philamuseum.org/collections/permanent/81716.html
301,2016-225-2,"Susan Macdowell Eakins, American, 1851 - 1938",,"Bequest of Daniel W. Dietrich II, 2016",American Art,c. 1873-1880,15 × 11 3/4 inches (38.1 × 29.8 cm),"Made in Philadelphia, Pennsylvania, United States, North and Central America",338904,Currently not on view,Oil on board,,Portrait of a Man (Double Sided),http://www.philamuseum.org/collections/permanent/338904.html
302,1955-50-283,"Artist/maker unknown, Chinese",,"The Alfred and Margaret Caspary Memorial Gift, 1955",East Asian Art,Early 18th century,6 x 2 3/4 inches (15.2 x 7 cm),"Made in China, Asia",55221,Currently not on view,Porcelain with underglaze powder-blue and overglaze enamel and gilt decoration,,Bottle (One of a Pair),http://www.philamuseum.org/collections/permanent/55221.html
303,1952-61-17,"Charles Demuth, American, 1883 - 1935",,"A. E. Gallatin Collection, 1952","Prints, Drawings, and Photographs",1918,Sheet: 8 x 11 1/4 inches (20.3 x 28.6 cm),"Made in United States, North and Central America",53888,Currently not on view,Watercolor and graphite on laid paper,Dancers; Two Dancers,In Vaudeville,http://www.philamuseum.org/collections/permanent/53888.html
304,1985-52-6877,"William Sharp, British, 1749 - 1824",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1775,Plate: 9 1/8 x 8 1/8 inches (23.2 x 20.6 cm),"Made in London, England, Europe",128563,Currently not on view,"Etching and engraving, printed in brown ink",,"Hector, in the Tower (Lecture Ticket)",http://www.philamuseum.org/collections/permanent/128563.html
305,1985-52-40529,"Richard Cooper II, British, c. 1740 - after 1814",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1806,Sheet: 8 7/8 x 12 7/8 inches (22.6 x 32.7 cm),"Made in London, England, Europe",183694,Currently not on view,Lithograph,,A Stream Cascading into a Pond in Foreground,http://www.philamuseum.org/collections/permanent/183694.html
306,1985-52-38997,"John Henry Robinson, British, 1796 - 1871. After Sir Peter Lely (Pieter van der Faes), English (active Netherlands), 1618 - 1680. Owned by Duke of Bedford, English. Published by Harding & Lepard, Pall Mall East, London.",,"The Muriel and Philip Berman Gift, acquired from the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1830,"Plate: 9 15/16 x 7 3/8 inches (25.3 x 18.8 cm)
Sheet: 11 1/4 x 7 3/4 inches (28.5 x 19.7 cm)","Made in London, England, Europe",178340,Currently not on view,Etching and stipple,"Edmund Lodge, Portraits of Illustrious Personages of Great Britain (London 1821-34)","Portrait of Henry Wriothesley, Earl of Southampton",http://www.philamuseum.org/collections/permanent/178340.html
307,1965-86-8365,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","December 26, 1955",Image and sheet: 9 15/16 × 6 11/16 inches (25.2 × 17 cm),"Photograph taken in New York, New York, United States, North and Central America",245079,Currently not on view,Gelatin silver print,,Shelley Scott,http://www.philamuseum.org/collections/permanent/245079.html
308,1985-52-35566,"Robert Nanteuil, French, 1623 - 1678",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1654,Sheet: 12 5/8 x 9 13/16 inches (32 x 24.9 cm),"Made in France, Europe",5667,Currently not on view,Engraving,,"Portrait of Dominique de Ligny (1623-1681), French Prelate",http://www.philamuseum.org/collections/permanent/5667.html
309,1969-83-118(77),"Dorothy Norman, American, 1905 - 1997",,"From the Collection of Dorothy Norman, 1969","Prints, Drawings, and Photographs",1946,"Image: 3 13/16 × 2 13/16 inches (9.7 × 7.2 cm)
Sheet: 4 1/8 × 3 1/8 inches (10.5 × 7.9 cm)","Photograph taken in Oaklawn, New York, Lake George, United States, North and Central America",252505,Currently not on view,Gelatin silver print,,Photographs of Portraits in House on the Hill,http://www.philamuseum.org/collections/permanent/252505.html
310,1941-19-1b,"Artist/maker unknown, French",,"Bequest of Sarah Stevenson Cox, 1941",European Decorative Arts and Sculpture,c. 1870,10 x 6 1/2 inches (25.4 x 16.5 cm),"Made in France, Europe",168153,Currently not on view,Porcelain with transfer-printed decoration,,Vase,http://www.philamuseum.org/collections/permanent/168153.html
311,"2008-7-4a,b","Made by K. Hattori and Company, Tokyo, established 1917",,"Gift of Frederick R. McBrien III, 2008",East Asian Art,c. 1920,4 7/8 x 11 1/4 x 7 5/8 inches (12.4 x 28.6 x 19.4 cm),"Made in Japan, Asia Period: Taishō Period (1912-1926)",299112,Currently not on view,Lacquered wood with openwork silver frame and silver handles,,Box with Phoenixes and Paulownia,http://www.philamuseum.org/collections/permanent/299112.html
312,1980-128-2,"Alfred Stieglitz, American, 1864 - 1946",,"From the Collection of Dorothy Norman, 1980","Prints, Drawings, and Photographs",1929,"Image/Sheet/Mount: 4 5/8 × 3 5/8 inches (11.7 × 9.2 cm)
Mount (secondary): 13 11/16 × 10 13/16 inches (34.8 × 27.5 cm)","Photograph taken in United States, North and Central America",73594,Currently not on view,Gelatin silver print,Equivalent - ES8,"Equivalent, Series XX No. 1",http://www.philamuseum.org/collections/permanent/73594.html
